Recency(Days),Frequency,Monetary(£)
45,100,1080.6200000000001
48,17,337.3399999999999
9,19,149.47000000000003
98,16,632.04
17,21,1436.8300000000002
10,32,294.0399999999999
164,7,118.6
51,22,384.06
14,84,571.6100000000001
3,67,470.76000000000005
1,35,220.84999999999997
62,4,365.52
9,123,1602.2000000000007
3,113,1392.190000000001
41,14,321.91999999999996
16,22,1967.96
66,14,192.39
182,2,143.0
75,49,816.1
62,109,1429.87
147,5,152.39999999999998
69,20,432.19999999999993
2,20,935.2099999999998
10,106,483.25999999999993
3,61,391.6999999999998
83,84,1511.9499999999996
37,26,415.81999999999994
36,28,441.64
66,118,2440.82
7,14,177.4
20,60,1173.1199999999997
15,15,224.21000000000004
34,5,389.63999999999993
155,58,550.5699999999999
50,28,439.66
9,28,498.2999999999999
44,68,1172.6600000000003
12,101,2423.56
172,38,511.69
15,45,1136.3199999999997
160,22,330.11
50,4,73.68
68,15,259.16999999999996
116,9,151.95000000000002
9,216,1683.5899999999995
29,13,221.36
2,52,718.0500000000002
66,10,318.0
31,117,1092.3800000000006
0,58,2008.1200000000001
147,13,198.57
107,21,64.60000000000001
105,29,85.13000000000002
31,10,515.1
5,7,546.1
33,179,1791.1000000000004
10,17,255.4
136,24,417.37999999999994
56,77,1401.6500000000003
178,8,138.19
122,35,765.34
75,10,412.00999999999993
40,32,769.1999999999999
114,87,300.31
117,13,251.75
146,14,308.58
42,61,920.7700000000002
43,5,521.2
12,19,334.55999999999995
14,11,184.39999999999998
10,85,1649.759999999999
19,43,727.4399999999999
140,87,305.0199999999998
12,24,314.11000000000007
43,71,1010.1799999999997
44,36,173.97000000000003
12,55,932.86
41,120,2287.109999999999
152,10,135.9
70,20,311.69000000000005
85,10,269.0
42,101,1537.95
12,156,3526.45
48,9,187.82999999999998
6,8,258.4
5,60,865.9899999999998
41,255,1214.160000000001
113,58,1174.3499999999997
14,19,328.4
81,3,69.65
77,14,1255.55
69,14,1.4210854715202004e-14
3,64,251.23999999999992
8,92,1768.030000000001
40,33,657.23
50,30,649.6999999999999
12,88,278.40000000000003
27,16,612.08
88,30,597.09
50,16,329.67999999999995
9,18,178.26
91,45,263.29999999999995
133,11,163.68000000000004
109,30,570.03
47,50,1003.2700000000001
1,18,336.80000000000007
22,167,3290.87
44,25,543.4100000000001
13,26,473.2800000000001
1,14,168.28
15,22,379.3
42,2,65.8
9,25,383.98999999999995
13,44,923.7199999999996
33,27,490.83999999999986
64,48,1982.0000000000002
35,53,758.2899999999998
13,102,1978.3800000000006
51,9,202.65000000000003
56,7,503.7
2,117,2184.03
44,74,231.98000000000002
143,17,286.84
167,6,810.6000000000001
21,80,1148.9400000000007
5,38,738.9599999999998
176,22,267.76
64,28,368.99999999999983
35,21,365.4500000000001
31,36,541.53
50,15,291.47999999999996
20,59,4822.700000000002
22,43,759.1400000000001
161,16,335.87
138,101,545.9499999999998
2,22,112.81
40,15,238.18
44,30,546.8100000000001
59,2,160.4
25,1,931.4999999999999
13,23,539.81
13,252,2226.3400000000006
9,179,4821.14
142,39,746.2099999999998
41,18,1035.45
1,62,264.44000000000005
103,38,980.3100000000002
119,19,237.35999999999996
12,84,642.17
170,9,110.75
100,35,886.28
1,150,650.2799999999999
16,153,1927.7500000000005
34,55,329.6799999999999
12,22,1609.4100000000005
12,40,739.0200000000002
1,17,306.35999999999996
51,29,511.34000000000003
17,11,589.7
9,125,2060.6700000000005
