Recency(Days),Frequency,Monetary(£)
30,100,2537.9100000000003
66,2,270.0
9,72,1457.55
63,30,512.5
86,13,459.4
13,23,539.81
172,131,6207.669999999996
110,6,523.2
48,185,4715.760000000004
43,82,1378.4800000000002
2,193,3368.2000000000007
31,55,912.7800000000001
42,76,1677.6700000000003
20,62,1527.9600000000003
25,30,832.82
16,32,622.93
1,6,185.12
72,39,775.2899999999996
12,101,2423.56
116,4,69.45
19,28,406.16
182,2,143.0
6,81,2349.3600000000006
70,31,504.84
12,100,460.88999999999993
29,61,1405.6000000000001
143,25,1080.48
6,69,1190.1900000000003
126,69,1109.81
36,84,1435.6599999999999
56,25,565.9800000000001
89,4,69.3
40,4,391.7
139,53,1390.3900000000006
12,108,3280.7500000000014
40,47,1056.16
55,114,11056.930000000004
65,58,1142.8799999999999
182,23,425.25000000000006
178,5,125.85000000000001
15,447,60551.99000000001
103,34,668.5799999999997
143,29,600.3900000000001
159,17,297.36
79,44,572.98
153,30,1760.9599999999998
69,36,777.1999999999999
2,20,389.82000000000005
0,55,1868.92
34,10,216.4
51,93,2050.56
33,107,4359.3200000000015
0,273,9588.749999999998
75,34,519.8899999999999
70,17,3850.9
0,55,1428.6100000000004
5,96,2466.8500000000004
171,11,144.06
12,156,3526.45
12,3,77.4
48,57,1002.3099999999998
57,25,431.49
35,21,365.4500000000001
13,102,2139.4100000000008
164,8,197.88
7,20,348.57000000000005
125,43,707.0899999999999
44,30,-5.684341886080802e-14
64,28,368.99999999999983
35,86,1773.7200000000003
72,35,939.63
62,18,425.4800000000001
115,34,626.8800000000001
9,66,892.81
1,10,517.2
8,45,682.19
44,35,669.38
6,160,3687.080000000002
171,35,545.99
2,32,438.2
19,116,2240.61
8,33,892.52
94,282,3178.649999999999
0,54,1244.6600000000003
152,14,298.93
8,147,3097.969999999999
96,18,227.20999999999998
156,9,183.24
0,25,283.43999999999994
72,13,953.1
12,21,349.7
14,43,3236.6600000000008
152,148,2025.3899999999992
178,14,410.6
9,14,60.00000000000003
125,8,643.9
17,69,398.27000000000004
133,3,217.52
75,35,532.7900000000001
68,12,656.86
19,100,836.1899999999999
19,95,1495.8299999999992
143,17,286.84
27,107,1726.12
133,37,545.6800000000001
30,10,156.72000000000003
10,74,1198.3800000000003
0,52,1755.73
44,68,1172.6600000000003
72,3,63.790000000000006
0,57,1200.95
20,51,1080.03
5,17,125.22
80,15,313.83
82,34,716.3500000000001
20,262,4279.710000000004
50,21,363.95
13,136,2766.5099999999998
50,33,556.78
66,15,288.24
37,67,1021.5000000000002
157,4,67.19999999999999
70,56,824.8299999999994
30,19,317.81999999999994
0,60,1073.36
23,121,603.7099999999997
7,8,6407.12
59,16,238.85
13,92,1798.4099999999999
63,19,292.70000000000005
13,229,4014.7999999999997
7,88,1750.02
30,34,519.6099999999999
38,37,463.04000000000013
120,36,497.19999999999993
12,43,989.85
64,29,374.71999999999997
149,23,379.7
30,14,179.70999999999998
9,179,4821.14
0,102,1472.0700000000004
8,11,196.94
30,9,174.9
19,33,574.6800000000001
56,16,401.59999999999997
99,5,96.30000000000001
37,47,1487.3100000000004
26,25,450.27
10,181,2634.9799999999987
0,68,1364.3000000000004
23,37,500.2799999999999
19,29,1139.08
29,13,221.36
12,1,613.1999999999999
70,6,75.67999999999999
51,101,1579.51
69,42,712.9200000000002
43,65,1193.32
48,20,607.5900000000001
48,88,1630.4599999999998
150,20,315.59999999999997
62,77,1490.2400000000002
50,42,355.5300000000002
12,10,137.31
7,75,2313.15
5,58,741.7499999999998
119,17,269.1
97,36,569.1300000000001
14,190,3744.960000000002
1,161,2915.110000000001
9,28,518.3599999999999
0,62,1030.8800000000003
48,30,480.50000000000017
21,99,1509.1799999999998
82,134,2609.400000000002
172,38,511.69
14,50,994.5799999999999
106,9,145.9
16,44,905.26
29,4,1475.6999999999998
100,35,886.28
40,24,731.6899999999999
13,46,1211.47
115,20,300.05
25,29,569.51
171,19,242.44
90,9,114.00000000000003
139,27,1430.75
1,4,75.0
8,93,2146.8199999999997
2,52,1008.0599999999998
9,35,632.0500000000001
50,4,73.68
2,12,227.10000000000002
7,12,1123.5
2,37,738.6800000000002
1,34,1243.68
2,42,728.31
15,18,382.44
21,49,790.81
5,269,5483.310000000002
0,195,4362.380000000003
15,81,1550.2299999999996
19,151,2575.0800000000004
104,171,4873.810000000005
16,37,664.5800000000002
19,6,290.5
61,35,761.6699999999998
98,13,244.64999999999998
12,40,739.0200000000002
117,120,1951.0499999999995
26,51,725.7099999999999
10,11,201.0
61,21,256.69999999999993
13,52,939.9899999999999
27,96,1436.4100000000005
13,70,2600.199999999998
79,37,794.5499999999998
0,158,2676.9399999999996
97,20,273.86
124,67,963.4899999999996
23,53,830.98
62,18,202.25000000000003
70,141,2117.5299999999997
7,32,407.66000000000014
29,42,733.1700000000001
19,80,1595.2200000000003
1,22,570.9999999999999
29,24,417.56
104,25,417.0100000000001
14,173,12030.62
170,11,218.2600000000001
182,21,283.7699999999999
29,3,144.0
143,27,427.5999999999999
42,111,4948.5800000000045
13,33,1429.2299999999998
72,53,4366.779999999999
77,4,112.08000000000001
6,290,3598.870000000005
107,97,2791.590000000001
43,92,1411.4400000000007
16,20,405.5900000000001
129,2,174.0
48,156,3464.3999999999996
20,54,752.4700000000004
8,13,206.36000000000004
10,21,330.1700000000001
140,20,403.71999999999997
44,82,1295.8700000000001
6,58,518.42
0,10,275.56
90,16,357.68
44,25,543.4100000000001
9,13,318.4800000000001
1,8,6977.039999999999
85,25,382.58
116,9,151.95000000000002
159,25,400.36
35,15,229.63999999999993
92,1,85.92
138,15,368.09999999999997
167,14,238.65000000000003
35,48,771.8800000000001
86,6,92.72
61,47,918.9799999999999
65,1,535.5
20,25,397.11999999999995
50,45,771.0199999999998
35,20,318.7
103,14,194.82
152,6,207.25
142,9,115.22999999999999
136,24,417.37999999999994
20,74,951.4599999999999
164,12,134.1
172,64,292.34000000000003
2,216,3861.6300000000024
55,63,1872.6999999999996
5,163,1556.0600000000018
61,20,808.26
56,80,1068.9599999999998
50,24,151.07999999999998
13,91,871.5399999999998
111,15,346.39
69,34,514.1299999999999
9,268,1949.580000000001
59,34,801.6
43,5,521.2
129,3,147.12
17,95,1568.229999999999
147,14,248.06000000000006
75,7,248.64000000000001
134,1,49.470000000000006
48,50,1386.59
15,119,853.7300000000009
88,7,298.0
0,13,1463.0399999999995
15,42,703.4700000000001
22,72,1158.2699999999995
86,1,81.36
15,82,380.46999999999997
147,1,85.0
80,34,188.14
33,24,347.29999999999995
28,2,128.8
9,72,509.57999999999976
2,63,2919.809999999999
167,1,432.0
30,28,642.9100000000001
14,45,1932.5399999999993
5,15,1045.98
6,29,1395.9400000000003
139,9,164.0
129,26,693.37
7,42,960.7399999999998
8,28,164.23000000000002
173,29,176.97
88,7,229.8
65,23,368.31
36,35,690.0999999999998
69,27,409.90000000000003
15,98,496.77999999999986
17,76,1294.4699999999998
8,63,1012.9000000000003
6,92,1076.0399999999997
16,9,114.14
27,32,8205.72
122,51,287.3799999999999
55,47,853.4300000000002
7,85,1524.7399999999996
15,11,671.6
154,8,113.4
34,62,1085.11
0,17,329.84999999999997
7,104,2581.7400000000002
181,19,108.07
104,11,170.54000000000002
1,67,1226.1799999999998
21,109,771.9099999999996
0,10,160.18
103,5,135.95
1,166,5940.729999999998
176,9,39.24
28,8,1654.8300000000002
50,20,372.21999999999997
26,28,390.53999999999996
9,4,97.5
19,78,1215.6200000000001
64,14,254.39999999999998
111,10,312.00000000000006
14,31,503.76
14,15,239.46
22,25,256.87000000000006
68,5,200.72
13,12,306.74999999999994
118,23,320.2799999999999
97,1,76.32000000000001
13,109,2968.9899999999984
23,6,149.05
2,257,3543.0600000000004
118,29,468.95000000000005
47,4,81.57
12,109,2299.24
44,107,1897.84
64,47,789.8899999999996
7,223,3603.74
173,19,308.5
104,7,2304.0
13,45,661.32
80,9,865.0
2,39,371.7399999999999
43,71,1010.1799999999997
45,26,476.91
129,15,303.75
71,13,513.36
172,21,303.25
27,13,516.4200000000001
80,21,431.59
5,60,865.9899999999998
173,7,502.9
25,18,348.15000000000003
56,78,1201.96
15,5,181.25
63,10,248.61
3,48,733.1099999999999
15,49,430.9000000000001
73,15,115.46000000000002
1,1,179.0
109,49,151.83
0,241,8960.9
12,5,190.09999999999997
170,6,58.08
167,13,285.35
66,14,192.39
10,112,5396.4400000000005
12,24,319.82
61,10,148.27999999999997
88,47,1678.9599999999998
61,6,74.4
14,200,4162.230000000004
30,8,243.94
37,17,884.76
124,1,76.5
35,58,1531.6200000000003
44,67,720.3799999999999
108,31,485.19000000000005
12,34,419.7
10,32,338.71000000000015
174,1,18.72
21,85,1292.2100000000003
68,15,259.16999999999996
174,2,64.0
14,32,714.4
27,7,109.80000000000001
63,76,1250.8799999999999
25,134,2569.21
13,37,575.5400000000001
7,169,4646.290000000003
99,30,264.21
75,74,1347.9000000000003
10,23,307.0899999999999
29,3,110.94999999999999
30,5,200.97000000000003
17,17,228.91
1,3,594.0
5,68,1299.32
70,22,402.56
